sentence_alignment_id,language_code,language_name,corpus_source,source_alignment_file,document_id,line_in_document,source_sentence_id,split,strategy_record_id,source_text,target_text,source_token_count,target_token_count,alignment_links,aligned_link_count,source_aligned_token_count,target_aligned_token_count,source_unaligned_token_count,target_unaligned_token_count,source_coverage_pct,target_coverage_pct,macro_strategies_original,macro_strategies,macro_strategy_count,micro_strategies_original,micro_strategies,micro_strategy_count,criteria_ids,criteria_descriptions,annotation_notes,complex_parts,strategy_annotation_source,micro_strategy_status,strategy_annotation_status,automatic_macro_candidates,requires_manual_strategy_review,strategy_match_method,strategy_source_similarity,strategy_target_similarity,alignment_model,alignment_heuristic,alignment_encoder,one_to_one_applied,label_scope,label_explanation,label_modulation,label_synonymy,label_transposition,label_transcription,label_syntactic_change,label_illocutionary_change,label_compression,label_omission
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_001,1,,,EN_001,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,32,31,3-6 6-7 7-8 8-9 9-10 10-11 11-12 13-13 16-16 17-17 18-18 19-20 22-5 24-25 25-26 26-27 27-28 28-29 31-11 31-30,20,19,19,13,12,59.38,61.29,Modulation | Omission | Synonymy | Syntactic Change,Modulation;Synonymy;Syntactic Change;Omission,4,GraPron | GraTens | ModInf | OmiSubj | PrAcron | SemHype | SemStere,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,7,,,"each of all four meanings in the ST have been turned into a sentence
---
an Hypernym has been used to render the meaning
---
Omission of redundant elements related to the noun
---
relative pronoun has been made explicit
---
an acronym has been made explicit
---
present perfect turned into simple present
---
go for more stereotypical word of the semiosphere + one information per sentence",Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020. | barrister | who | PM | UK | has served as | Leader,manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,1,0,0,1
EN_ALIGN_0002,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_002,2,,,EN_002,A focus group is an activity in which a small group of people (5-8) discuss one topic.,A focus group is a small group of people. The focus group talks about a topic.,21,18,0-0 1-1 2-2 3-3 4-15 5-12 6-9 8-4 9-5 10-6 11-7 12-8 17-13 19-16 20-17,15,15,15,6,3,71.43,83.33,Compression | Modulation | Omission,Modulation;Compression;Omission,3,GraSim | ModInf | OmiComp | OmiSubj,GraSim;ModInf;OmiComp;OmiSubj,4,,,"each of all four meanings in the ST have been turned into a sentence
---
an element related to the the subject of the relative clause is omitted
---
a relative clause has ben merged with the main clause
---
an element of the Object is omitted",(5-8) | an activity in which,manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,0,0,0,0,0,1,1
EN_ALIGN_0003,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_003,3,,,EN_003,The aim of the focus group is to collect group opinions about certain topics of interest.,The focus group gives opinions about the topic.,17,9,0-0 3-6 4-1 5-2 6-3 10-4 11-5 13-7 16-8,9,9,9,8,0,52.94,100.0,Omission | Synonymy | Syntactic Change,Synonymy;Syntactic Change;Omission,3,OmiSubj | SemHype | SemHypo | SemStere | SynG2W,OmiSubj;SemHype;SemHypo;SemStere;SynG2W,5,,,"an element of the subject is omitted
---
a more stereotypical word is used
---
a group becomes a word
---
the hyponym replaces a more generic synonym
---
the hypernym replaces a more specific synonym",aim of the | collect | certain topics of interest. | group opinions,manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,1,0,0,1
EN_ALIGN_0004,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_004,4,,,EN_004,"The conversation is guided by a person, the moderator, who helps the conversation between the people.",One person guides the focus group. This person is the moderator. The moderator helps the talk.,19,19,0-13 2-9 3-2 6-8 7-6 7-12 8-10 9-11 10-12 10-18 12-15 13-16 14-17 16-3 17-1 18-6 18-18,17,14,14,5,5,73.68,73.68,Compression | Modulation | Synonymy | Syntactic Change,Modulation;Synonymy;Syntactic Change;Compression,4,GraPass | GraPron | GraSim | ModInf | PraCont | SemStere | SynG2W | SynW2G | SynW2S,GraPass;GraPron;GraSim;ModInf;PraCont;SemStere;SynG2W;SynW2G;SynW2S,9,,,"each of all three meanings in the ST have been turned into a sentence
---
a passive sentence is turned into an active sentence
---
the relative pronoun is turned into the actual referent
---
the word conversation is turned into the group focus group
---
a word is turned into its contextual synonym
---
the group is turned into a word
---
the group is turned into a more stereotypical synonym
---
a word is turned into a sentence
---
Simplification of grammar from a subordinate clasue to a main clause","The conversation is guided by a person, the moderator, who helps the conversation between the people. | is guided by a person | who | conversation i | the conversation between the people. | the conversation | the moderator | who helps",manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,1,0,1,0
EN_ALIGN_0005,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_005,5,,,EN_005,"The moderator asks questions and shows slides, pictures or videos to guide the group.","The moderator asks questions and shows slides, pictures, or videos to the group.",16,16,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 7-9 8-8 9-10 10-11 11-12 12-7 13-13 14-14 15-15,17,16,16,0,0,100.0,100.0,Compression | Transposition,Transposition;Compression,2,GraSim | SynC2W,GraSim;SynC2W,2,,,"a final clause is turned into a word
---
Simplification of grammar from a subordinate clasue to a main clause",to guide the group.,manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,1,0,0,0,1,0
EN_ALIGN_0006,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_006,6,,,EN_006,Information included in the factsheet is correct at the time of publishing.,(...),13,3,5-1 12-0 12-2,3,2,3,11,0,15.38,100.0,Omission,Omission,1,OmiSent,OmiSent,1,,,Omission of sentence providing information not functional to the understanding of the topic,,manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,0,0,0,0,0,1
EN_ALIGN_0007,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_007,7,,,EN_007,"The Scottish Government is working with people and organisations across the country. Our aim is to improve community health, social work and social care support in Scotland.","The Scottish Government wants to improve community health, social work and social care support. The Scottish Governement works with people in Scotland who have used or worked in these services.",30,33,0-0 1-1 2-2 3-3 4-28 5-20 6-21 7-27 8-31 10-16 12-15 15-19 16-4 17-5 18-6 19-7 20-8 21-9 22-10 23-11 24-12 25-13 26-14 27-22 28-23 29-32,26,26,26,4,7,86.67,78.79,Modulation | Omission | Synonymy | Syntactic Change | Transposition,Modulation;Synonymy;Transposition;Syntactic Change;Omission,5,GraPron | GraTens | ModClau | OmiComp | PraProp | TraNou,GraPron;GraTens;ModClau;OmiComp;PraProp;TraNou,6,,,"Sentences are distributed in linear order to avoid reference to information not yet provided
---
The grammar class of the noun expressing action is turned into the verb
---
A tense is simplified
---
Omission of a word providing information not functional to the understanding of the topic
---
a pragmatic synonym is used to better clarify what the country stands for. it could be considered as an abstraction change as well.
---
Our is turned into The Scottish government to make the sentence clearer",Our aim is | is working | and organisations | in Scotland. | across the country | Our,manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,1,0,1,0,0,1
EN_ALIGN_0008,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_008,8,,,EN_008,"We want everyone to have access to consistent, high-quality services wherever they live, and whenever they need them.",We want everyone to have access to good health care and social care support. They should have this wherever they live in Scotland.,23,25,0-0 1-1 2-2 3-3 4-4 5-5 6-6 9-7 11-12 12-13 13-19 14-15 15-21 16-14 17-10 19-20 20-17 22-24,18,18,18,5,7,78.26,72.0,Compression | Omission | Synonymy,Synonymy;Compression;Omission,3,GraSim | OmiComp | OmiSent | SemHypo | SemStere,GraSim;OmiComp;OmiSent;SemHypo;SemStere,5,,,"Clauses are turned into sentenced and distributed in linear order
---
Omission of a word providing information not functional to the understanding of the topic
---
a more common word is used instead of a synonym that is less common or more abstract
---
the type of service is specified instead of its hypernym.
---
Omission of clause providing information not functional to the understanding of the topic","consistent | high-qualit | services | , and whenever they need them.",manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_best_target,1.0,0.653165,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,1,1
EN_ALIGN_0009,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_008,9,,,EN_008,"We want everyone to have access to consistent, high-quality services wherever they live, and whenever they need them.",We want everyone to have access to good health care and social care support. They should have this wherever they live in Scotland (...).,23,28,0-0 1-1 2-2 3-3 4-4 5-5 6-6 9-7 11-12 12-13 13-19 14-15 15-21 16-14 17-10 19-20 20-17 22-27,18,18,18,5,10,78.26,64.29,Compression | Omission | Synonymy,Synonymy;Compression;Omission,3,GraSim | OmiComp | OmiSent | SemHypo | SemStere,GraSim;OmiComp;OmiSent;SemHypo;SemStere,5,,,"Clauses are turned into sentenced and distributed in linear order
---
Omission of a word providing information not functional to the understanding of the topic
---
a more common word is used instead of a synonym that is less common or more abstract
---
the type of service is specified instead of its hypernym.
---
Omission of clause providing information not functional to the understanding of the topic","consistent | high-qualit | services | , and whenever they need them.",manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_best_target,1.0,0.67,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,1,1
EN_ALIGN_0010,en,English,Carlo English manually annotated corpus,carlo_english_merged.txt.wordalign.csv,EN_009,10,,,EN_009,"We want everyone to have access to consistent, high-quality services wherever they live (...), and whenever they need them.",We want everyone to have access to good health care and social care support. They should have this wherever they live in Scotland.,26,25,0-0 1-1 2-2 3-3 4-4 5-5 6-6 8-14 11-12 12-13 13-19 14-15 15-21 19-14 19-24 20-10 22-20 25-24,18,17,16,9,9,65.38,64.0,Explanation,Explanation,1,HidCon,HidCon,1,,,Content given for granted is explained,(...),manual multilabel macro and micro annotation,provided_manual_annotation,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,1,0,0,0,0,0,0,0,0
