instance_id,pair_id,side,label,text,n_tokens,language,collection,document_id,split
001526393a0ae50eaf2a_original,001526393a0ae50eaf2a,original,1,Vous pouvez venir vous inscrire à cette activité : - Sur les permanences sans Marc Philippe les lundis et jeudis entre 10h et 12h ! Nous sommes situés au centre de la place Margaret Masse-Coulon ; l'entrée se situe derrière le bâtiment au centre de la place. - ou en nous contactant : Mail : renardstephane@example.net Antoinette Lucas : +33 3 59 30 14 36,69,fr,fr,french_tagged.txt,train
001526393a0ae50eaf2a_simplified,001526393a0ae50eaf2a,simplified,0,Vous pouvez vous inscrire aux activités : - par mail : renardstephane@example.net - par téléphone : +33 3 59 30 14 36 - ou venir à nos permanences sans rendez-vous les lundis et jeudis entre 10h et 12h.,39,fr,fr,french_tagged.txt,train
001a7e559eefa54f3bb9_original,001a7e559eefa54f3bb9,original,1,"أمسكت بقميصي تشدّه ضغطت على أسنانها تقول: ""اسمع، هذه المرة أنقذتك بجعلك خادما، في المرة المقبلة سأتركك لزوج عواطف يحز عنقك"" ازدردت ريقي بصعوبة.",30,ar,ar,arabic_cleaned_data.txt,train
001a7e559eefa54f3bb9_simplified,001a7e559eefa54f3bb9,simplified,0,"أمسكت بقميصي تشده: ""اسمع، هذه المرة جعلتك خادما، في المرة المقبلة سأتركك لزوج عواطف يقتلك"".",21,ar,ar,arabic_cleaned_data.txt,train
008cf9a5c0c5aeb4e198_original,008cf9a5c0c5aeb4e198,original,1,"Contingut Com a persones usuàries de les webs municipals, haureu de subministrar les dades personals imprescindibles per a la prestació del servei sol·licitat.",26,ca,ca,idem_ca_CAT_085_089.txt,test
008cf9a5c0c5aeb4e198_simplified,008cf9a5c0c5aeb4e198,simplified,0,"Contingut Quan utilitzeu les webs de l’Ajuntament, heu de donar dades personals necessàries perquè es pugui fer el tràmit o el servei que demaneu.",27,ca,ca,idem_ca_CAT_085_089.txt,test
0095e128f4d6219c3027_original,0095e128f4d6219c3027,original,1,I love the sea waving.,6,en,en,carlo_english_merged.txt,validation
0095e128f4d6219c3027_simplified,0095e128f4d6219c3027,simplified,0,I love the sea waves.,6,en,en,carlo_english_merged.txt,validation
00f56d943937d36c86a7_original,00f56d943937d36c86a7,original,1,"Un cop ens els donen, un equip de professionals els revisen, els reparen i acompanyen a les persones que els sol·liciten per ensenyar-los com utilitzar-los.",30,ca,ca,idem_ca_CAT_018_021.txt,test
00f56d943937d36c86a7_simplified,00f56d943937d36c86a7,simplified,0,"Quan una persona o entitat dona un producte de suport, un equip de professionals el revisa i el repara si és necessari. Quan una persona demana un producte, aquest equip l’acompanya i li ensenya com fer-lo servir.",43,ca,ca,idem_ca_CAT_018_021.txt,test
0108373d929e3fb5d167_original,0108373d929e3fb5d167,original,1,"Tutti gli altri, circa il 90 per cento, hanno dovuto spostarsi fino al capoluogo di regione, a meno che non vi abitassero già.",27,it,it,idem_it_IT_028_035.txt,train
0108373d929e3fb5d167_simplified,0108373d929e3fb5d167,simplified,0,La maggior parte degli studenti ha dovuto andare al capoluogo della regione se non ci abitava.,17,it,it,idem_it_IT_028_035.txt,train
0112ade2f1b2f8590c7e_original,0112ade2f1b2f8590c7e,original,1,"Questo nuovo reato potrebbe creare una serie di problemi, e in più smentisce il ministro della Giustizia Carlo Nordio, che prima di assumere il ruolo di ministro era contrario all’allungamento del codice penale con nuovi reati.",40,it,it,idem_it_IT_053_067.txt,train
0112ade2f1b2f8590c7e_simplified,0112ade2f1b2f8590c7e,simplified,0,"Questo nuovo crimine può causare alcuni problemi. Inoltre, non è quello che pensava Carlo Nordio prima. Adesso è il ministro della Giustizia. Prima diceva: non voglio aggiungere crimini al codice penale.",37,it,it,idem_it_IT_053_067.txt,train
