strategy,label,example_id,source_text,simplified_text,deletion_spans,insertion_spans,confidence,attnlrp_precision_at_k,GradientSHAP_tokens,Integrated Gradients_tokens,Raw Attention_tokens,AttnLRP_tokens
Synonymy,SUCCESSFUL,89d8d14da319ced8,"Como publicó El Periódico de España, Aliste y Villarejo se conocen desde hace décadas y el abogado aparece en las agendas del comisario.",El Periodico de España publicó que José Aliste y Villarejo tienen relación desde hace muchos años.,"[{'span_text': 'Como', 'start_index': 0.0, 'end_index': 0.0, 'span_length': 1}, {'span_text': 'se', 'start_index': 10.0, 'end_index': 10.0, 'span_length': 1}, {'span_text': 'y el abogado aparece en las agendas del comisario', 'start_index': 15.0, 'end_index': 23.0, 'span_length': 9}]","[{'span_text': 'que José', 'start_index': 5.0, 'end_index': 6.0, 'span_length': 2}, {'span_text': 'relación', 'start_index': 11.0, 'end_index': 11.0, 'span_length': 1}]",0.6178839802742004,0.7647058823529411,ario | </s> | </s> | ▁que | ▁relación,▁las | ▁agenda | </s> | liste | ▁relación,<s> | ▁A | ▁relación | . | </s>,▁Como | ▁aparece | ▁agenda | is | .
Synonymy,UNSUCCESSFUL,7efaf284b208daee,في منتصف جسر خشبي كبير، يمتد بين مرتفعين تفصل بينهما بحيرة كبيرة، توقفت ميرلا، ثم أشارت نحو الأسفل: مات الكثير من العمال غرقا، في هذه البحيرة، أثناء مدّ هذا الجسر.,في منتصف جسر خشبي كبير، مُعلق فوق بحيرة كبيرة، توقفت ميرلا ثم أشارت نحو الأسفل: مات الكثير من العمال في هذه البحيرة.,"[{'span_text': 'مرتفعين', 'start_index': 8.0, 'end_index': 8.0, 'span_length': 1}, {'span_text': 'بينهما', 'start_index': 10.0, 'end_index': 10.0, 'span_length': 1}, {'span_text': '،', 'start_index': 16.0, 'end_index': 16.0, 'span_length': 1}, {'span_text': 'غرقا ،', 'start_index': 26.0, 'end_index': 27.0, 'span_length': 2}, {'span_text': '، أثناء', 'start_index': 31.0, 'end_index': 32.0, 'span_length': 2}, {'span_text': 'هذا الجسر', 'start_index': 34.0, 'end_index': 35.0, 'span_length': 2}]",[],0.4774004817008972,0.0,<s> | تد | ▁العمال | ▁غر | ▁العمال | .,▁جس | ر | تد | </s> | ▁العمال | </s>,<s> | ر | ▁ | . | ▁مات | </s>,▁ | ▁ثم | فل | ▁من | فل | .
Modulation,SUCCESSFUL,0b13ef510cf62672,La sintesi è questa: la natura esiste da molto prima di noi.,In poche parole: la natura esiste da molto prima di noi.,"[{'span_text': 'è', 'start_index': 2.0, 'end_index': 2.0, 'span_length': 1}]",[],0.47107458114624023,1.0,. | ▁natura | ▁di,▁sintesi | ▁questa | ▁natura,<s> | . | </s>,▁è | ▁di | ▁In
Modulation,UNSUCCESSFUL,6b2fbda34a617d93,"Aquest règim es coneix popularment com a Llei Beckham perquè inicialment alguns clubs de futbol el van utilitzar per fitxar jugadors, i el futbolista anglès David Beckham va ser un dels primers a beneficiar-se d’aquest règim especial.",Aquest règim especial es coneix com la Llei Beckham. Se li diu així perquè alguns clubs de futbol el van fer servir per contractar jugadors estrangers. Un dels primers a beneficiar-se’n va ser el futbolista David Beckham.,"[{'span_text': 'popularment', 'start_index': 4.0, 'end_index': 4.0, 'span_length': 1}, {'span_text': 'a', 'start_index': 6.0, 'end_index': 6.0, 'span_length': 1}, {'span_text': 'inicialment', 'start_index': 10.0, 'end_index': 10.0, 'span_length': 1}, {'span_text': 'aquest', 'start_index': 38.0, 'end_index': 38.0, 'span_length': 1}]","[{'span_text': 'la', 'start_index': 6.0, 'end_index': 6.0, 'span_length': 1}, {'span_text': 'Se li diu així', 'start_index': 10.0, 'end_index': 13.0, 'span_length': 4}, {'span_text': 'fer', 'start_index': 21.0, 'end_index': 21.0, 'span_length': 1}]",0.4701851010322571,0.0,▁popular | ▁Beckham | . | ▁Llei | ▁ | s | .,", | ’ | </s> | ▁fer | ar | ▁primer | </s>","<s> | ▁fi | , | ’ | . | ▁ | </s>","▁fi | txar | , | ▁i | ▁Llei | ▁contract | estranger"
Compression,SUCCESSFUL,1a408162a7e9e7a1,"Il sindaco Andrea Casamenti teme che se i moscerini non se ne andranno entro al massimo tre settimane ci saranno conseguenze sugli arrivi dei primi turisti, attesi per i ponti tra Pasqua e il primo maggio.","Andrea Casamenti è il sindaco di Orbetello. Si preoccupa e dice: i primi turisti arriveranno tra Pasqua e il primo maggio. È in 3 settimane. Se i moscerini restano, ci sono forse meno turisti.","[{'span_text': 'che', 'start_index': 5.0, 'end_index': 5.0, 'span_length': 1}, {'span_text': 'non', 'start_index': 9.0, 'end_index': 9.0, 'span_length': 1}, {'span_text': 'ne', 'start_index': 11.0, 'end_index': 11.0, 'span_length': 1}, {'span_text': 'entro al massimo', 'start_index': 13.0, 'end_index': 15.0, 'span_length': 3}, {'span_text': 'conseguenze', 'start_index': 20.0, 'end_index': 20.0, 'span_length': 1}, {'span_text': 'dei', 'start_index': 23.0, 'end_index': 23.0, 'span_length': 1}, {'span_text': 'attesi per', 'start_index': 27.0, 'end_index': 28.0, 'span_length': 2}]","[{'span_text': 'è', 'start_index': 2.0, 'end_index': 2.0, 'span_length': 1}, {'span_text': 'di Orbetello .', 'start_index': 5.0, 'end_index': 7.0, 'span_length': 3}, {'span_text': 'e dice :', 'start_index': 10.0, 'end_index': 12.0, 'span_length': 3}, {'span_text': '. È in', 'start_index': 23.0, 'end_index': 25.0, 'span_length': 3}, {'span_text': 'forse meno turisti', 'start_index': 36.0, 'end_index': 38.0, 'span_length': 3}]",0.6996216773986816,0.5555555555555556,"<s> | , | i | </s> | </s> | : | . | , | ▁sono | ▁turisti | . | </s>","<s> | ▁Il | ▁sindaco | ▁teme | , | esi | ▁arrive | , | ▁sono | ▁turisti | . | </s>",<s> | ▁teme | ▁mos | ▁ | vi | . | ▁Casa | ▁mos | ▁resta | ▁turisti | . | </s>,▁che | ▁se | ▁ne | ▁and | ▁att | ▁è | ▁È | ▁mos | ▁resta | ▁forse | ▁meno | ▁turisti
Compression,UNSUCCESSFUL,c8de7f52dd678b4d,أما في ما بعد، أعترف أني لم أحتمل، لأحملك، بكل ضعف، المسؤولية بالكامل.,أما بعد ذلك، أعترف بأنني لم أستطيع.,"[{'span_text': 'في ما', 'start_index': 1.0, 'end_index': 2.0, 'span_length': 2}, {'span_text': '،', 'start_index': 9.0, 'end_index': 9.0, 'span_length': 1}, {'span_text': '، بكل ضعف ، المسؤولية بالكامل', 'start_index': 11.0, 'end_index': 16.0, 'span_length': 6}]",[],0.604767918586731,0.0,مل | . | </s>,مل | . | </s>,<s> | . | </s>,ت | مل | ▁ضعف
Explanation,SUCCESSFUL,41711f05e2154f19,make sure that we recognise and value the care workforce and unpaid carers,help the workforce to feel valued (...),"[{'span_text': 'sure', 'start_index': 1.0, 'end_index': 1.0, 'span_length': 1}, {'span_text': 'we recognise and', 'start_index': 3.0, 'end_index': 5.0, 'span_length': 3}, {'span_text': 'care', 'start_index': 8.0, 'end_index': 8.0, 'span_length': 1}, {'span_text': 'and unpaid carers', 'start_index': 10.0, 'end_index': 12.0, 'span_length': 3}]","[{'span_text': 'feel', 'start_index': 4.0, 'end_index': 4.0, 'span_length': 1}, {'span_text': '( ... )', 'start_index': 6.0, 'end_index': 8.0, 'span_length': 3}]",0.514790952205658,0.6923076923076923,<s> | </s> | ▁feel | ▁value | ▁(...) | </s>,<s> | ▁care | </s> | </s> | ▁feel | </s>,<s> | ni | ▁care | </s> | ▁work | </s>,▁we | ▁and | ▁care | ▁care | rs | ▁to
Explanation,UNSUCCESSFUL,b5b875edf1cbdd7a,Faire un CV et le modifier seul,Faire un CV et le mettre à jour,[],"[{'span_text': 'à', 'start_index': 6.0, 'end_index': 6.0, 'span_length': 1}]",0.5379109382629395,0.0,▁modifier | ▁seul | </s>,▁modifier | ▁seul | ▁à,<s> | </s> | </s>,▁un | ▁un | ▁jour
Syntactic Change,SUCCESSFUL,50536e22a817d894,The aviation industry has seen a dramatic drop in passenger numbers as a result of COVID-19 and the industry faces one of the longest recovery periods given the impact on route networks.,Not many people used air travel during the coronavirus pandemic.,"[{'span_text': 'industry has', 'start_index': 2.0, 'end_index': 3.0, 'span_length': 2}, {'span_text': 'a dramatic drop in', 'start_index': 5.0, 'end_index': 8.0, 'span_length': 4}, {'span_text': 'numbers as a result of', 'start_index': 10.0, 'end_index': 14.0, 'span_length': 5}, {'span_text': 'and the industry faces one of the longest recovery periods', 'start_index': 16.0, 'end_index': 25.0, 'span_length': 10}, {'span_text': 'impact on route networks', 'start_index': 28.0, 'end_index': 31.0, 'span_length': 4}]","[{'span_text': 'many people', 'start_index': 1.0, 'end_index': 2.0, 'span_length': 2}, {'span_text': 'travel', 'start_index': 5.0, 'end_index': 5.0, 'span_length': 1}]",0.4787308871746063,0.625,VID | . | ▁during | ▁the | ▁pande | . | </s>,VID | -19 | ▁impact | ▁on | ▁network | virus | .,<s> | ▁passen | . | ▁air | ▁pande | . | </s>,▁drop | ▁long | est | ▁on | ▁air | ▁travel | ▁pande
Syntactic Change,UNSUCCESSFUL,0a08fcb71a7ad371,"En aquest cas, només un dels progenitors pot presentar la declaració conjunta amb els fills.","En aquest cas, només un dels pares o mares pot presentar la declaració conjunta amb els fills o filles.",[],"[{'span_text': 'pares o', 'start_index': 8.0, 'end_index': 9.0, 'span_length': 2}, {'span_text': 'o filles', 'start_index': 19.0, 'end_index': 20.0, 'span_length': 2}]",0.49877408146858215,0.0,geni | ▁fill | ▁filles,", | . | ,",<s> | . | </s>,geni | ▁la | ▁la
