sentence_alignment_id,language_code,language_name,corpus_source,source_alignment_file,document_id,line_in_document,source_sentence_id,split,strategy_record_id,source_text,target_text,source_token_count,target_token_count,alignment_links,aligned_link_count,source_aligned_token_count,target_aligned_token_count,source_unaligned_token_count,target_unaligned_token_count,source_coverage_pct,target_coverage_pct,macro_strategies_original,macro_strategies,macro_strategy_count,micro_strategies_original,micro_strategies,micro_strategy_count,criteria_ids,criteria_descriptions,annotation_notes,complex_parts,strategy_annotation_source,micro_strategy_status,strategy_annotation_status,automatic_macro_candidates,requires_manual_strategy_review,strategy_match_method,strategy_source_similarity,strategy_target_similarity,alignment_model,alignment_heuristic,alignment_encoder,one_to_one_applied,label_scope,label_explanation,label_modulation,label_synonymy,label_transposition,label_transcription,label_syntactic_change,label_illocutionary_change,label_compression,label_omission
AR_ALIGN_0001,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_001,1,0,test,AR_001,يجيد إلى جانب اللغة الفلبينية كلا من اللغتين العربية والإنكليزية.,يُجيد، بالإضافة إلى اللغة الفلبينية، اللغتين العربية والإنكليزية.,11,11,0-0 0-10 1-3 2-2 3-4 4-5 7-7 8-8 9-9 10-1 10-10,11,9,10,2,1,81.82,90.91,"Omission, Compression, Substitution",Synonymy;Compression;Omission,3,,,0,,,, إلى جانب -  كلا من,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,1,1
AR_ALIGN_0002,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_002,2,1,trial,AR_002,تلقى هناك دروسا في العربية لدى معهد الدراسات الإسلامية في مانيلا، وحصل على منحة دراسية من قبل اللجنة الوطنية الكويتة للتربية والعلوم والثقافة ليتلقى تعليمه في المعهد الديني في الكويت.,هناك درس العربية في معهدالدراسات الإسلامية في مانيلا وحصل على منحة دراسية ليدرس في المعهدالديني في الكويت.,32,18,0-17 1-0 2-4 4-2 6-4 7-4 8-5 9-6 10-7 12-8 13-9 14-10 15-11 20-16 22-4 24-12 26-3 27-14 28-14 29-15 30-16 31-17,22,22,16,10,2,68.75,88.89,"Omission, Compression, Syntactic Changes, Transposition",Transposition;Compression;Omission,3,,,0,,,,تلقى دروسًا -  ليتلقى تعليمه ,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,1,0,0,0,1,1
AR_ALIGN_0003,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_003,3,2,test,AR_003,يعمل حاليا بوظيفة مترجم في سفارة جمهورية الفلبين لدى الكويت.,يعمل حاليا بوظيفة مترجم في سفارة جمهورية الفلبين في الكويت.,11,11,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10,11,11,11,0,0,100.0,100.0,Substitution,Synonymy,1,,,0,,,,لدى,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
AR_ALIGN_0004,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_004,4,3,test,AR_004,مهمتي هنا، وإن كنت أشغل حيزا بشخصيتي الحقيقية، في هذا العمل، لا تتعدى تحويل كلمات النص من اللغة الفلبينية إلى اللغة العربية بناء على طلب الكاتب.,مهمتي فقط تحويل كلمات النص من اللغة الفلبينية إلى اللغة العربية.,30,12,0-0 1-1 16-2 17-3 18-4 19-5 20-9 21-7 22-8 23-6 24-10 29-11,12,12,12,18,0,40.0,100.0,"Omission, Compression, Modulation",Modulation;Compression;Omission,3,,,0,,,, وإن كنت أشغل حيزا بشخصيتي الحقيقية، لا تتعدى ,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,0,0,0,0,0,1,1
AR_ALIGN_0005,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_005,5,4,test,AR_005,لكل لغة خصوصيتها، ولأن اللغة جزء من ثقافة الشعوب، والثقافات وإن تشابهت فيما بينها فلابد أن يتفرّد بعضها بما يميزها عن بعضها الآخر لهذا وجدتني أمام الكثر من المفردات الفلبينة التي ليس لها مرادف دقيق في العربية.,لكل لغة خصوصيتها، ولأن اللغة جزه من ثقافة الشعوب، وجدتني أمام الكثير من المفردات الفلبينية التي ليس لها ترجمة في العربية.,40,24,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 13-20 18-20 21-6 26-11 27-12 29-14 30-15 31-16 32-17 33-18 34-19 36-13 37-21 38-22 39-23,26,26,24,14,0,65.0,100.0,"Omission, Compression, Substitution",Synonymy;Compression;Omission,3,,,0,,,,والثقافات وإن تشابهت فيما بينها فلابد أن يتفرّد بعضها بما يميزها عن بعضها الآخر-  وإن- فلابد أن -لهذا - مرادف دقيق,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,1,1
AR_ALIGN_0006,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_006,6,5,test,AR_006,خصوصا تلك المفردات الغارقة بالمحلية أو الشعبية التي لا توجد في الثقافات الأخرى.,خصوصا تلك المفردات المحلية أو الشعبية التي لا توجد في الثقافات الأخرى.,14,13,0-0 1-1 2-2 3-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12,13,13,13,1,0,92.86,100.0,Omission,Omission,1,,,0,,,,الغارقة  ب,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,0,0,0,0,0,1
AR_ALIGN_0007,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_007,7,6,test,AR_007,ورغم اتقاني وعشقي للعربية لغة القرآن الكريم فقد وجدتني في مأزق أمام تلك المفردات، ما جعلني أتصرف في كثير من العبارات الواردة في هذا النص بشكل يكاد يطابق المعنى الحرفي لها، وأسأل الله أن أكون قد وُفّقت في ذلك.,ورغم معرفتي وعشقي للعربية لغة القرآن الكريم، فكانت ترجمة بعض المفردات صعبة فأسأل الله أن أكون قد نجحت في ذلك.,42,22,0-0 1-1 2-2 3-3 4-4 5-5 6-6 8-8 10-12 12-10 13-11 14-7 17-16 17-18 18-19 22-9 32-21 33-13 34-14 35-15 36-16 37-17 38-18 40-20 41-9 41-21,26,24,22,18,0,57.14,100.0,"Omission, Compression, Substitution",Synonymy;Compression;Omission,3,,,0,,,,إتقاني - وجدتني في مأزق- ,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,1,1
AR_ALIGN_0008,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_008,8,7,trial,AR_008,ساقت الظروف والدتي لترك بلادها وأهلها وأصدقائها للعمل في الخارج، وعلى صعوبة هذا، بالنسبة لفتاة في العشرين من عمرها، فإن مصيرها كان أفضل بكثير من ذلك الذي سيقت إليه أختها، آيدا، التي تكبرها بثلائة أعوام.,تركت والدتي بلادها وأهلها وأصدقائها للعمل في الخارج في العشرين من عمرها، ومصيرها كان أفضل بكثير من مصير أختها، آيدا، التي تكبرهابثلاثة أعوام.,41,27,0-0 2-1 3-0 4-2 5-3 6-4 7-5 8-6 9-7 10-12 12-24 17-8 18-9 19-10 20-11 23-13 23-18 24-14 25-15 26-16 27-17 32-19 33-20 34-21 35-22 36-23 37-24 38-24 38-26 39-25 40-26,31,29,27,12,0,70.73,100.0,"Omission, Transposition",Transposition;Omission,2,,,0,,,,ساقت الظروف والدتي لترك - ساقت الظروف - وعلى صعوبة هذا، بالنسبة لفتاة في العشرين من عمرها,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,1,0,0,0,0,1
AR_ALIGN_0009,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_009,9,8,test,AR_009,فحين تحالف الجوع مع مرض والدتها والديون التي أثقلت كاهل والدها المقامر الذي أفنى ماله في تربية ديوك المصارعة لم يجد الأبوان بدا من تقديم ابنتهما البكر، ذات السابعة عشرة آنذاك، مجبرة، إلى سمسار يوفر لها فرصة عمل في مراقص وحانات المنطقة والنزول عند شرطة بأن يأخذ حصته، جسدا ونقدا، من الفتاة في نهاية كل يوم عمل.,فحين مرضت والدتها وازدادت ديون والدها المقامر الذي أضاع ماله في تربية ديوك المصارعة، لم يجد الأبوان سوى تقديم ابنتهما،التي كانت في السابعة عشرة، إلى سمسار يوفر لها فرصة عمل في مراقص وبارات المنطقة.,63,39,0-0 1-38 4-1 5-2 6-4 7-22 8-1 8-8 10-5 11-6 12-7 14-9 15-10 16-11 17-12 18-13 19-15 20-16 21-17 24-19 25-20 27-21 29-25 30-26 34-27 35-28 36-29 37-30 38-31 39-32 40-33 41-34 42-35 43-36 44-37 53-3 57-24 62-38,38,37,36,26,3,58.73,92.31,"Omission, Compression, Substitution",Synonymy;Compression;Omission,3,,,0,,,,تحالف الجوع مع - مجبرة - النزول عند شرط بأن يأخذ حصته، جسدًا ونقدًا - حانات,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,1,1
AR_ALIGN_0010,ar,Arabic,Arabic aligned simplification corpus,arabic_cleaned_data.txt.wordalign.csv,AR_010,10,9,test,AR_010,في الوقت الذي كانت فيه والدتي على وشك أن تكون نسخة عن خالتي آيدا بمصيرها البائس، جاء إلى منزلهم أحد جيرانهم يحمل قصاصة من جريدة فيها إعلان من وكيل في مانيلا يعلن عن استعداده لاستقبال طلبات الراغبات في العمل في الخارج، ليتم توزيعهن على مكاتب العمالة المنزلية في دول الخليج.,في الوقت الذي كانت فيه والدتي على وشك أن تكون مثل خالتي آيدا، جاء إلى منزلهم أحد جيرانهم يحمل إعلان جريدة من وكيل في مانيلا للعمالة المنزلية في دول الخليح.,53,32,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 12-11 13-12 16-13 17-14 18-15 19-16 20-17 21-18 22-19 24-22 25-21 27-20 28-22 29-23 30-24 31-25 35-26 37-30 47-26 48-27 49-28 50-29 52-31,34,34,32,19,0,64.15,100.0,"Omission, Compression, Substitution",Synonymy;Compression;Omission,3,,,0,,,,نسخة عن - بمصيرها البائس - قصاصة من جريدة فيها - يعلن عن استعداده لاستقبال طلبات الراغبات في العمل في الخارج - ليتم توزيعهن على مكاتب,Arabic reviewed macro annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,1,1
