sentence_alignment_id,language_code,language_name,corpus_source,document_id,line_in_document,source_text,target_text,macro_strategies,micro_strategies,strategy_record_id,strategy_annotation_status,automatic_macro_candidates,requires_manual_strategy_review,label_scope,label_explanation,label_modulation,label_synonymy,label_transposition,label_transcription,label_syntactic_change,label_illocutionary_change,label_compression,label_omission,source_token_index,source_token,target_token_index,target_token,alignment_status,alignment_cardinality,source_alignment_degree,target_alignment_degree,token_edit_relation,candidate_operation,source_is_punctuation,target_is_punctuation,indices_are_zero_based
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,0,Starmer,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,1,is,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,2,a,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,3,British,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,4,lawyer,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,14,the,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,15,Prime,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,19,United,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,21,.,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,1,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,22,Starmer,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,23,is,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,,,24,the,target_only,unaligned,,0,target_unaligned,addition_or_explanation_candidate,,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,0,Sir,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,1,Keir,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,2,Rodney,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,3,Starmer,6,Starmer,aligned,one_to_one,1,1,retained_exact,retention,0,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,4,KCB,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,5,KC,,,source_only,unaligned,0,,source_unaligned,deletion_or_omission_candidate,0,,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,6,is,7,is,aligned,one_to_one,1,1,retained_exact,retention,0,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,7,a,8,a,aligned,one_to_one,1,1,retained_exact,retention,0,0,1
EN_ALIGN_0001,en,English,Carlo English manually annotated corpus,EN_001,1,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.,Modulation;Synonymy;Syntactic Change;Omission,GraPron;GraTens;ModInf;OmiSubj;PrAcron;SemHype;SemStere,EN_001,provided_strategy_annotation,,0,sentence-level,0,1,1,0,0,1,0,0,1,8,British,9,British,aligned,one_to_one,1,1,retained_exact,retention,0,0,1
