sentence_alignment_id,language_code,language_name,corpus_source,source_alignment_file,document_id,line_in_document,source_sentence_id,split,strategy_record_id,source_text,target_text,source_token_count,target_token_count,alignment_links,aligned_link_count,source_aligned_token_count,target_aligned_token_count,source_unaligned_token_count,target_unaligned_token_count,source_coverage_pct,target_coverage_pct,macro_strategies_original,macro_strategies,macro_strategy_count,micro_strategies_original,micro_strategies,micro_strategy_count,criteria_ids,criteria_descriptions,annotation_notes,complex_parts,strategy_annotation_source,micro_strategy_status,strategy_annotation_status,automatic_macro_candidates,requires_manual_strategy_review,strategy_match_method,strategy_source_similarity,strategy_target_similarity,alignment_model,alignment_heuristic,alignment_encoder,one_to_one_applied,label_scope,label_explanation,label_modulation,label_synonymy,label_transposition,label_transcription,label_syntactic_change,label_illocutionary_change,label_compression,label_omission
FR_ALIGN_0001,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,0,1,,,FR_001,"dans différents lieux sur notre territoire, au plus proche du public",dans plusieurs villes à côté de chez vous,12,8,0-0 1-1 2-2 6-7 7-3 9-4 10-5,7,7,7,5,1,58.33,87.5,Synonymy,Synonymy,1,,,0,,,Substitution,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
FR_ALIGN_0002,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,1,2,,,FR_002,- 96h de français pour apprendre à communiquer à l'oral et à l'écrit,- 96 heures de français pour progresser à l'oral et à l'écrit,15,14,0-0 1-1 1-2 2-3 3-4 4-5 5-6 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13,15,14,14,1,0,93.33,100.0,Synonymy,Synonymy,1,,,0,,,Substitution,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
FR_ALIGN_0003,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,2,3,,,FR_003,"- Accéder aux transports (bus, métro, permis...)","- Se déplacer et utiliser les transports : bus, métro...",12,12,0-0 1-2 2-5 3-6 4-7 5-8 6-3 7-10 8-9 9-4 10-11,11,11,11,1,1,91.67,91.67,Synonymy,Synonymy,1,,,0,,,Substitution,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
FR_ALIGN_0004,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,3,4,,,FR_004,- Adaptation de la formation à vos besoins,- Adaptation de la formation à vos besoins,8,8,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7,8,8,8,0,0,100.0,100.0,Transcript,Transcription,1,,,0,,,Transcript,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,0,1,0,0,0,0
FR_ALIGN_0005,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,4,5,,,FR_005,"- Aide pour faire vos démarches administratives (demandes, dossiers….)","- Aide pour faire vos démarches administratives (demandes, dossiers...).",14,14,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-13 13-12,14,14,14,0,0,100.0,100.0,Transcript,Transcription,1,,,0,,,Transcript,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,0,1,0,0,0,0
FR_ALIGN_0006,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,5,6,,,FR_006,- Applications pour progresser,- Utilisation d'applications mobiles et de sites internet pour pratiquer,4,11,0-0 1-3 1-4 2-9 3-10,5,4,5,0,6,100.0,45.45,Explanation,Explanation,1,,,0,,,Explanation,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,1,0,0,0,0,0,0,0,0
FR_ALIGN_0007,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,6,7,,,FR_007,- Ateliers en groupe / binômes,- Ateliers en groupes et en binômes,6,7,0-0 1-1 2-2 3-3 4-4 5-6,6,6,6,0,1,100.0,85.71,Syntactic change,Syntactic Change,1,,,0,,,Syntactic,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,0,0,1,0,0,0
FR_ALIGN_0008,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,7,8,,,FR_008,- Avoir des aides financières,"- Avoir des aides financières : CAF, France Travail...",5,11,0-0 1-1 2-2 3-3 4-4,5,5,5,0,6,100.0,45.45,Explanation,Explanation,1,,,0,,,Explanation,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,1,0,0,0,0,0,0,0,0
FR_ALIGN_0009,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,8,9,,,FR_009,- Avoir les codes professionnels,"- Comprendre le monde du travail en France : codes sociaux, procédures, bulletin de salaire...",5,18,0-0 1-1 1-13 2-2 3-9,5,4,5,1,13,80.0,27.78,Explanation,Explanation,1,,,0,,,Explanation,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,1,0,0,0,0,0,0,0,0
FR_ALIGN_0010,fr,French,French tagged simplification corpus,french_tagged.txt.wordalign.csv,9,10,,,FR_010,- Avoir une visite chez le médecin ou un psychologue,- Prendre rendez-vous chez un médecin ou un psychologue,10,9,0-0 1-1 2-4 3-2 4-3 6-5 7-6 8-7 9-8,9,9,9,1,0,90.0,100.0,Synonymy,Synonymy,1,,,0,,,Substitution,,French macro-strategy annotation,not_available_in_source,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
