sentence_alignment_id,language_code,language_name,corpus_source,source_alignment_file,document_id,line_in_document,source_sentence_id,split,strategy_record_id,source_text,target_text,source_token_count,target_token_count,alignment_links,aligned_link_count,source_aligned_token_count,target_aligned_token_count,source_unaligned_token_count,target_unaligned_token_count,source_coverage_pct,target_coverage_pct,macro_strategies_original,macro_strategies,macro_strategy_count,micro_strategies_original,micro_strategies,micro_strategy_count,criteria_ids,criteria_descriptions,annotation_notes,complex_parts,strategy_annotation_source,micro_strategy_status,strategy_annotation_status,automatic_macro_candidates,requires_manual_strategy_review,strategy_match_method,strategy_source_similarity,strategy_target_similarity,alignment_model,alignment_heuristic,alignment_encoder,one_to_one_applied,label_scope,label_explanation,label_modulation,label_synonymy,label_transposition,label_transcription,label_syntactic_change,label_illocutionary_change,label_compression,label_omission
CA_ALIGN_0001,ca,Catalan,iDEM Catalan,idem_ca_CAT_001.txt.wordalign.csv,CAT_001,1,0,,CAT_001:0,"Àpats a domicili El servei d’àpats a domicili dona suport alimentari a aquelles persones que, per la seva situació personal, no poden preparar-se els àpats, necessiten ajuda per fer-ho o no tenen un habitatge en condicions per cuinar aliments.",Menjars a domicili Hi ha un servei d'ajuda que porta el menjar a casa. Aquest servei és per a persones que tenen problemes per cuinar. Aquests problemes poden ser: - per la seva situació personal no poden preparar el menjar. - Necessiten ajuda per cuinar. - La cuina de casa seva està en mal estat.,46,62,0-0 1-1 2-2 3-11 4-6 5-7 7-20 8-14 9-10 10-8 11-12 12-13 13-16 14-21 15-22 17-34 18-35 19-36 20-37 21-38 22-27 23-39 24-40 25-41 26-33 27-42 28-28 29-15 29-27 30-46 31-47 32-25 34-45 37-23 38-5 39-61 40-58 41-24 42-48 43-49 44-43 45-50 45-61,43,41,41,5,21,89.13,66.13,Synonymy;Modulation;Explanation,Explanation;Modulation;Synonymy,3,SemSyn;ModInf;ModClau;HidGra,SemSyn;ModInf;ModClau;HidGra,4,18;14;10;26,"18- Selecció de paraules que es puguin entendre.
14- Prioritzar oracions curtes amb una idea per oració.
10- llista d'elements
26- utilitzar els pronoms amb una referència clara.","Àpats: complexa
Suport: complexa. 
Necessiten ajuda per fer-ho: no hi ha referència clara pronom
Habitatge: complexa","Àpats: complexa
Suport: complexa. 
Necessiten ajuda per fer-ho: no hi ha referència clara pronom
Habitatge: complexa",iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,1,1,1,0,0,0,0,0,0
CA_ALIGN_0006,ca,Catalan,iDEM Catalan,idem_ca_CAT_002_006.txt.wordalign.csv,CAT_002_006,1,0,,CAT_002_006:0,Formalitza una queixa Quan es pot presentar una queixa?,Presenta una queixa Quan es pot presentar una queixa?,10,10,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9,10,10,10,0,0,100.0,100.0,Synonymy,Synonymy,1,SemSyn,SemSyn,1,18,18- Selecció de paraules que es puguin entendre,Formalitza: complexa,Formalitza: complexa,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
CA_ALIGN_0028,ca,Catalan,iDEM Catalan,idem_ca_CAT_007_008.txt.wordalign.csv,CAT_007_008,1,0,,CAT_007_008:0,"Presència al territori La Sindicatura, a peu de carrer La millor manera de descobrir què passa a Barcelona és caminant-hi de la mà de les persones que més saben de cada racó de la ciutat: el veïnat.",* La Sindicatura està present a tot el territori per escoltar i ajudar la ciutadania. La Sindicatura surt al carrer. Per saber què passa a Barcelona és necessari caminar pels barris amb el veïnat. Les persones que viuen als barris coneixen molt bé la ciutat.,42,52,0-17 1-19 2-20 3-8 4-1 5-2 6-15 6-38 7-5 10-21 11-16 15-24 16-25 17-26 18-27 19-28 20-29 21-18 21-31 24-49 27-39 28-40 29-41 30-47 31-46 36-13 37-50 39-36 40-37 41-51,30,28,30,14,22,66.67,57.69,Compression,Compression,1,SemSim,SemSim,1,20,20- eviteu expressions en sentit figurat,caminant-hi de la mà,caminant-hi de la mà,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,0,0,0,0,1,0
CA_ALIGN_0035,ca,Catalan,iDEM Catalan,idem_ca_CAT_009_013.txt.wordalign.csv,CAT_009_013,1,0,,CAT_009_013:0,Quant a aquest procés Els pressupostos participatius són una eina de democràcia directa.,* El procès de pressupostos participatius Amb els pressupostos participatius la ciutadania pot decidir com gastar part dels diners públics.,14,22,2-1 3-2 4-7 5-4 5-8 6-5 7-12 9-19 10-3 11-11 12-9 13-21,12,11,12,3,10,78.57,54.55,Synonymy,Synonymy,1,SemSyn,SemSyn,1,18,"18- Evitar ús de termes abstractes,tècnics o complexos",eina de democràcia directa: complexa,eina de democràcia directa: complexa,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
CA_ALIGN_0048,ca,Catalan,iDEM Catalan,idem_ca_CAT_014_017.txt.wordalign.csv,CAT_014_017,1,0,,CAT_014_017:0,"Registre electrònic Contingut El Registre General és l’instrument de l’Ajuntament de Barcelona per controlar el flux de comunicació entre aquesta administració, la ciutadania i altres organitzacions, i dona fe de si s’ha produït o no aquesta comunicació.","Registre electrònic El Registre General és una eina de l' Ajuntament de Barcelona. que serveix per controlar la comunicació entre: - l'Ajuntament, - la ciutadania, - i altres organitzacions. Aquest registre deixa constància de si la comunicació s'ha fet.",43,48,0-0 1-1 2-39 3-2 4-3 5-4 6-5 7-10 7-24 8-7 9-8 10-9 10-24 11-11 12-12 13-13 14-17 15-18 16-19 19-20 20-21 22-25 22-47 23-26 24-28 25-29 26-32 27-33 28-34 29-30 29-35 31-38 33-40 34-41 35-44 36-45 37-46 40-36 41-43 42-14 42-47,41,36,39,7,9,83.72,81.25,Modulation;Synonymy,Modulation;Synonymy;Syntactic Change,3,ModClau;SemSyn,ModClau;SemSyn;SynG2C,3,10;18,"10- llista d'elements
18- Selecció de paraules que es puguin entendre",dona fe: complexa,dona fe: complexa,iDEM annotation criteria mapped to taxonomy; English-ground-truth syntactic review (2026-07-02),provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,1,0,0,0
CA_ALIGN_0060,ca,Catalan,iDEM Catalan,idem_ca_CAT_018_021.txt.wordalign.csv,CAT_018_021,1,0,,CAT_018_021:0,Què és el Banc del Moviment?,Què és el Banc del Moviment?,8,8,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7,8,8,8,0,0,100.0,100.0,,Transcription,1,,,0,,,,,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,automatic_high_confidence_transcription,Transcription,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,0,0,1,0,0,0,0
CA_ALIGN_0074,ca,Catalan,iDEM Catalan,idem_ca_CAT_022_023.txt.wordalign.csv,CAT_022_023,1,0,,CAT_022_023:0,"Començar a treballar Si vols realitzar una activitat laboral a Espanya, ja sigui per compte propi o per compte d’altri, has d’obtenir el número de la Seguretat Social.","Començar a treballar Si voleu treballar a Espanya, necessiteu un número de la Seguretat Social. Això és necessari tant si treballeu per a una empresa o persona o pel vostre compte.",33,35,0-0 1-1 2-2 3-3 4-4 5-5 6-25 9-6 10-7 11-8 11-16 14-23 15-33 17-27 22-16 26-31 27-11 28-12 29-13 30-14 31-15 32-34,22,21,21,12,14,63.64,60.0,Synonymy,Synonymy,1,SemSyn,SemSyn,1,18,18- Selecció de paraules que es puguin entendre,d'altri- obtenir: complexa,d'altri- obtenir: complexa,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
CA_ALIGN_0081,ca,Catalan,iDEM Catalan,idem_ca_CAT_024_047.txt.wordalign.csv,CAT_024_047,1,0,,CAT_024_047:0,"Dinàmiques i reptes del turisme urbà Turisme, el perill de morir d'èxit La percepció que tenen els residents sobre l’expansió del turisme urbà, que comporta una dissolució de la frontera entre espais turístics i espais locals, empitjora cada cop més.",Canvis i problemes del turisme a la ciutat Cada cop hi ha més turistes a les ciutats. La ciutadania pensa que la situació amb el turisme cada cop és pitjor. Això pot ser un problema si es perd la separació entre els espais per a turistes i els espais on viu la gent del barri. Una cosa que sembla bona com el turisme acaba portant problemes.,48,72,1-1 2-14 3-3 4-4 5-5 6-8 7-14 8-18 10-46 14-71 15-19 16-24 17-62 18-25 19-50 20-20 22-23 24-56 25-57 26-27 28-32 29-22 30-40 31-36 32-42 34-41 36-43 37-45 38-48 39-49 40-51 41-17 42-59 43-31 44-28 45-29 46-13 47-71,38,38,36,10,36,79.17,50.0,Synonymy;Compression,Synonymy;Syntactic Change;Compression,3,SemSyn;SemSim,SemSyn;SemSim;SynC2S,3,18;28,"18- Selecció de paraules que es puguin entendre
28- Eviteu l'ús de paraules sinònimes per referir-vos al mateix concepte.",dinàmiques i reptes- percepció-dissolució-frontera- empitjora: complexes,dinàmiques i reptes- percepció-dissolució-frontera- empitjora: complexes,iDEM annotation criteria mapped to taxonomy; English-ground-truth syntactic review (2026-07-02),provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,1,0,1,0
CA_ALIGN_0170,ca,Catalan,iDEM Catalan,idem_ca_CAT_048_052.txt.wordalign.csv,CAT_048_052,1,0,,CAT_048_052:0,La ciutat solidària Les desigualtats econòmiques i socials no deixen de créixer tant a escala global com local.,La ciutat solidària Les diferències entre persones riques i persones pobres són cada cop més grans. Això passa tant al món sencer com a les ciutats.,19,29,0-0 1-1 2-2 3-3 4-4 4-27 5-7 6-8 7-9 9-11 11-16 11-23 12-19 13-20 15-15 16-24 17-27 18-28,18,16,17,3,12,84.21,58.62,Synonymy,Synonymy,1,SemSyn,SemSyn,1,18,18- Selecció de paraules que es puguin entendre,escala global: complexa,escala global: complexa,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,0,0,0,0
CA_ALIGN_0186,ca,Catalan,iDEM Catalan,idem_ca_CAT_053_059.txt.wordalign.csv,CAT_053_059,1,0,,CAT_053_059:0,"Subvencions de l'Ajuntament de Barcelona d'activitats i serveis de districte i de ciutat Inicia el tràmit Mètodes d'identificació admesos Aquest tràmit permet sol·licitar subvencions a les persones i entitats que duen a terme activitats i serveis sense ànim de lucre al municipi de Barcelona, o fora d’aquest si contribueixen a la promoció exterior de la ciutat.","Subvencions de l'Ajuntament de Barcelona d'activitats i serveis de districte i de ciutat. Inicia el tràmit Maneres per identificar-se permeses Aquest tràmit serveix per demanar subvencions, que són ajudes econòmiques. Les poden demanar persones o entitats que fan activitats o serveis sense voler guanyar diners. Aquestes activitats i serveis es poden fer a la ciutat de Barcelona o fora de la ciutat, si ajuden a fer conèixer Barcelona a altres llocs.",63,80,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-16 16-17 17-18 18-19 18-79 19-2 20-21 21-23 22-24 23-25 24-26 25-28 26-29 29-39 30-54 31-41 32-42 33-43 34-72 36-44 37-45 38-46 39-47 43-76 45-61 46-62 47-63 48-35 48-69 49-64 50-65 52-52 53-70 54-71 55-59 56-60 57-53 59-66 60-67 61-68 62-51 62-79,57,54,55,9,25,85.71,68.75,Synonymy,Synonymy;Syntactic Change,2,SemSyn,SemSyn;SynC2S,2,18,18- Selecció de paraules que es puguin entendre,duen- admesos- contribueixen: complexes,duen- admesos- contribueixen: complexes,iDEM annotation criteria mapped to taxonomy; English-ground-truth syntactic review (2026-07-02),provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,0,1,0,0,1,0,0,0
