sentence_alignment_id,language_code,language_name,corpus_source,source_alignment_file,document_id,line_in_document,source_sentence_id,split,strategy_record_id,source_text,target_text,source_token_count,target_token_count,alignment_links,aligned_link_count,source_aligned_token_count,target_aligned_token_count,source_unaligned_token_count,target_unaligned_token_count,source_coverage_pct,target_coverage_pct,macro_strategies_original,macro_strategies,macro_strategy_count,micro_strategies_original,micro_strategies,micro_strategy_count,criteria_ids,criteria_descriptions,annotation_notes,complex_parts,strategy_annotation_source,micro_strategy_status,strategy_annotation_status,automatic_macro_candidates,requires_manual_strategy_review,strategy_match_method,strategy_source_similarity,strategy_target_similarity,alignment_model,alignment_heuristic,alignment_encoder,one_to_one_applied,label_scope,label_explanation,label_modulation,label_synonymy,label_transposition,label_transcription,label_syntactic_change,label_illocutionary_change,label_compression,label_omission
ES_ALIGN_0001,es,Spanish,iDEM Spanish,idem_es_ES_001_005.txt.wordalign.csv,ES_001_005,1,0,,ES_001_005:0,La Comunidad de Madrid aplica un innovador programa de ejercicio terapéutico para pacientes con cáncer en el Hospital público Gregorio Marañón. La Comunidad de Madrid aplica un innovador programa de ejercicios terapéuticos para pacientes con cáncer en el Hospital público General Universitario Gregorio Marañón.,La Comunidad de Madrid pone en marcha un programa de terapias con ejercicio físico para pacientes con cáncer. El Hospital público Gregorio Marañón de Madrid lleva a cabo este programa novedoso.,46,33,0-0 1-1 2-2 3-3 4-4 5-7 7-8 8-9 9-12 10-10 11-14 12-15 13-16 14-17 15-5 17-20 18-21 19-22 20-23 21-18 22-19 24-24 25-25 26-26 27-29 29-30 31-10 35-11 43-31 44-23 45-32,31,31,29,15,4,67.39,87.88,Synonymy;Modulation,Modulation;Synonymy,2,SemSyn;PraSyn;ModInf;HidCon,SemSyn;PraSyn;ModInf;HidCon,4,5;12;2;14;9,"5 Uso de verbo frecuente  -  12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos.  -  2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  14 Eliminación de polisemia o agregación con contexto. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 5 Uso de verbo frecuente  -  12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos.  -  9 Uso de adjetivo de uso frecuente.","Aplicar: verbo complejo y abstracto. Oración muy larga. | Ejercicio: Palabra polisémica. | Innovador: adjetivo complejo, se cambia por novedoso.","Aplicar: verbo complejo y abstracto. Oración muy larga. | Ejercicio: Palabra polisémica. | Innovador: adjetivo complejo, se cambia por novedoso.",iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,0,0,0,0
ES_ALIGN_0016,es,Spanish,iDEM Spanish,idem_es_ES_006.txt.wordalign.csv,ES_006,1,0,,ES_006:0,¿Con qué profesionales debo contactar?,¿Con qué profesionales debes contactar?,7,7,0-0 1-1 2-2 3-3 4-4 5-5 6-6,7,7,7,0,0,100.0,100.0,Modulation;Illocutionary Change,Modulation;Illocutionary Change,2,ModClau;Illocutionary Change,ModClau;Illocutionary Change,2,33;32,33 Uso de títulos para anticipar contenidos  -  32 Cambio de sujeto para trato directo al lector.,,,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,0,0,0,0,1,0,0
ES_ALIGN_0020,es,Spanish,iDEM Spanish,idem_es_ES_007_011.txt.wordalign.csv,ES_007_011,1,0,,ES_007_011:0,"Piden a la Junta una intervención para preservar los caudales del río Guadiaro y sus afluentes Ríos Guadiaro y su afluente Genal * A pesar de las lluvias, los ríos Guadiaro y su afluente Genal tienen un caudal similar al que suele llevar en época pre estival.",Ecologistas en Acción pide a la Junta de Andalucía que proteja el río Guadairo para mantener su cantidad de agua. Los pozos ilegales reducen el agua del río y sus afluentes. Un afluente es un río o arroyo que desemboca en otro río.,49,46,0-3 0-24 1-4 2-5 3-6 4-33 6-14 7-15 8-11 10-27 11-12 12-13 14-30 15-2 15-31 15-34 16-44 18-29 19-16 20-31 25-7 27-22 28-20 28-32 29-21 30-37 34-34 36-35 37-36 41-40 44-42 48-45,32,28,30,21,16,57.14,65.22,Explanation;Synonymy,Explanation;Synonymy,2,HidGra;SemSyn;PraSyn;WorExp,HidGra;SemSyn;PraSyn;WorExp,4,25;5;12;13,"25 Agregación del sujeto para evitar elípsis del sujeto | 5 Uso de verbo frecuente | 12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos. | 13 Definición de palabra técnica o compleja necesaria para el documento.",Oración sin sujeto | Preservar: verbo complejo | Caudal: Palabra compleja | Explicación para dar contexto. Eliminación de comparación con periodo estival. | Afluente: palabra compleja,Oración sin sujeto | Preservar: verbo complejo | Caudal: Palabra compleja | Explicación para dar contexto. Eliminación de comparación con periodo estival. | Afluente: palabra compleja,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,1,0,1,0,0,0,0,0,0
ES_ALIGN_0031,es,Spanish,iDEM Spanish,idem_es_ES_012_016.txt.wordalign.csv,ES_012_016,1,0,,ES_012_016:0,"El anticomunismo es la oposición política e ideológica al comunismo. El anticomunismo organizado se desarrolló después de la Revolución de Octubre de 1917 en Rusia y alcanzó dimensiones globales durante la Guerra Fría, cuando Estados Unidos y la Unión Soviética entablaron una intensa rivalidad.","El comunismo es un sistema político y económico que defiende que todas las personas son iguales y no hay clases sociales ni propiedad privada. El anticomunismo es la ideología que está en contra del comunismo. El anticomunismo nace después de la revolución de octubre en Rusia. La revolución de octubre acaba con los gobernadores rusos y crea un gobierno comunista llamado Unión Soviética. Después, el anticomunismo se hace más fuerte en mundo durante la Guerra Fría, es decir, los años en los que Estados Unidos y la Unión Soviética de Rusia se enfrentan.",47,101,0-0 1-26 1-38 2-2 3-28 4-61 5-5 6-6 7-29 8-34 9-1 9-35 10-24 10-36 11-25 12-26 12-70 13-7 14-71 15-1 16-40 17-41 18-42 19-43 20-44 21-45 21-100 22-51 24-46 25-47 26-58 28-56 29-15 30-77 31-78 32-79 33-80 34-36 34-48 36-90 37-91 38-92 39-93 40-64 41-65 42-32 42-99 43-60 44-74 46-68 46-100,51,43,47,4,54,91.49,46.53,Explanation;Modulation;Synonymy,Explanation;Modulation;Synonymy,3,WorExp;ModInf;SemSyn;PraSyn,WorExp;ModInf;SemSyn;PraSyn,4,13;2;11;12,"13 Definición de palabra técnica o compleja necesaria para el documento.  -  2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 11 Uso de sustantivo cortos, sencillos y de uso habitual.   -  12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos.",Comunismo: palabra compleja y necesaria para texto | Anticomunismo: palabra compleja y necesaria para texto | Revolución octubre: concepto compleja y necesaria para texto | dimensiones globales: complejo y abstracto | Guerra fría: concepto cmplejo y necesario para texto,Comunismo: palabra compleja y necesaria para texto | Anticomunismo: palabra compleja y necesaria para texto | Revolución octubre: concepto compleja y necesaria para texto | dimensiones globales: complejo y abstracto | Guerra fría: concepto cmplejo y necesario para texto,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,1,1,1,0,0,0,0,0,0
ES_ALIGN_0050,es,Spanish,iDEM Spanish,idem_es_ES_017_025.txt.wordalign.csv,ES_017_025,1,0,,ES_017_025:0,"El juez del Tribunal Supremo que investiga al fiscal general, Ángel Hurtado, ha emitido un auto en el que mantiene la declaración como imputado de Álvaro García Ortiz para este miércoles y en el que resta importancia a las filtraciones y bulos que Miguel Ángel Rodríguez, jefe de gabinete de Isabel Díaz Ayuso, protagonizó en el caso de fraude fiscal de Alberto González Amador, pareja de la presidenta regional.","El juez del Tribunal Supremo investiga al fiscal general, Álvaro García Ortiz. El fiscal general es el jefe del Ministerio fiscal de españa y promueve acciones judiciales. El juez ha decidido que Álvaro García Ortiz siga como imputado en el caso por dar a conocer información secreta de un caso que investigaba. Imputado significa que el juez investiga si ha cometido un delito. Álvaro García Ortiz hablará este miércoles ante el juez. El juez dice que los rumores y las noticias falsas filtradas no son graves. Miguel Ángel Rodríguez es jefe de gabinete de la presidenta de Madrid, Isabel Díaz Ayuso y fue el responsable de filtrar los rumores y noticias falsas del caso de Alberto González Amador. El caso es sobre fraude fiscal de Alberto González Amador, es decir, por no pagar los impuestos que debía pagar.",75,150,0-0 1-1 2-2 3-3 4-4 5-146 6-5 7-6 8-7 9-8 10-9 11-10 12-12 13-13 14-32 16-65 18-17 22-18 23-48 24-39 25-40 26-50 27-35 28-36 29-37 31-72 32-73 33-25 39-46 40-85 41-88 41-116 42-117 44-53 45-93 46-94 47-95 48-105 48-126 49-19 49-97 50-98 51-99 52-133 53-106 54-107 55-108 56-55 56-137 57-54 58-41 59-42 60-43 61-113 62-131 63-132 64-122 65-123 66-124 67-125 68-67 68-149 70-100 71-101 72-102 73-16 74-140 74-149,68,62,67,13,83,82.67,44.67,Modulation;Explanation;Synonymy,Explanation;Modulation;Synonymy,3,ModInf;WorExp;PraSyn,ModInf;WorExp;PraSyn,3,2;13;12,"2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 13 Definición de palabra técnica o compleja necesaria para el documento. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  13 Definición de palabra técnica o compleja necesaria para el documento. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos. | 12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos.","Fiscal general: término complejo | Imputado: palabra compleja | Esto es contexto adicional del caso para entender la relación entre ambos casos. | declarará es compleja, se cambia por hablará. | bulo: palabra compleja | Definición de fraude fiscal: término complejo","Fiscal general: término complejo | Imputado: palabra compleja | Esto es contexto adicional del caso para entender la relación entre ambos casos. | declarará es compleja, se cambia por hablará. | bulo: palabra compleja | Definición de fraude fiscal: término complejo",iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,1,1,1,0,0,0,0,0,0
ES_ALIGN_0076,es,Spanish,iDEM Spanish,idem_es_ES_026_029.txt.wordalign.csv,ES_026_029,1,0,,ES_026_029:0,ES_017_025,"El juez, en su auto, resta importancia al papel que Rodríguez jugó en las filtraciones y en cómo desencadenó los movimientos de la Fiscalía, al entender que la causa gira en torno a la filtración de otro correo: el de febrero en el que el abogado de González Amador reconocía su fraude fiscal de 350.000 euros. aseguras tu derecho a participar en las decisiones sobre el futuro de la Unión Europea. También apoyas que los diputados que forman parte del Parlamento europeo cumplan sus funciones de acuerdo a la ley.",1,97,0-2 0-60 0-76,3,1,3,0,94,100.0,3.09,Modulation;Synonymy;Illocutionary Change,Modulation;Synonymy;Illocutionary Change,3,ModInf;SemSyn;Illocutionary Change;PraSyn,ModInf;SemSyn;Illocutionary Change;PraSyn,4,2;5;32;12,"El juez dice que Miguel Ángel Rodríguez no es importante en el caso. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  5 Uso de verbo frecuente | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 32 Cambio de sujeto para trato directo al lector.  -  12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos.",2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | Ejercer: verbo complejo | Legitimidad: concepto complejo,2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | Ejercer: verbo complejo | Legitimidad: concepto complejo,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,0,1,0,0
ES_ALIGN_0094,es,Spanish,iDEM Spanish,idem_es_ES_030_036.txt.wordalign.csv,ES_030_036,1,0,,ES_030_036:0,"El PE pide al BCE que evalúe el efecto de los conflictos en la estabilidad de precios Notas de prensa, Sesión plenaria, economía, 11.02.2025 • Preocupación por la persistente inflación y su impacto en colectivos de rentas bajas • El BCE debe dotarse de un «plan geopolítico» para medir cómo afectan los conflictos a los precios • La decisión de introducir el euro digital no debe quedar solo en manos del BCE El pleno aprobó el martes recomendaciones al Banco Central Europeo, tras un debate el día anterior sobre sus prioridades con la presidenta Christine Lagarde.","El Parlamento europeo pide al Banco Central Europeo que estudie el efecto de las guerras en la subida de precios. Notas de prensa, Sesión del pleno, económia, 11 de febrero de 2025. • Preocupación por la subida de los precios y como afecta a los grupos de personas con menos dinero. • El Banco Central Europeo tiene que hacer un plan para medir como afectan las guerras a los precios. • La decisión de introducir el euro digital no es solo del Banco Central Europeo. El pleno aprobo el martes la recomendaciones al Banco Central Europeo después de un debate sobre los puntos importantes con la presidenta Christine Lagarde.",103,118,0-0 1-1 2-3 3-4 4-5 5-8 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-21 18-22 19-23 20-24 21-25 22-27 23-28 23-56 25-28 25-30 26-31 26-33 26-35 27-37 28-38 29-39 30-40 33-45 35-47 36-53 37-50 38-51 40-41 41-57 42-58 43-59 44-62 45-64 46-42 47-65 49-66 50-61 52-67 53-68 54-69 55-70 56-71 57-72 58-73 59-74 60-75 61-77 62-78 63-79 64-80 65-81 66-82 67-83 68-84 69-85 70-86 72-87 75-88 77-93 78-94 79-95 80-96 81-97 82-99 83-100 84-89 85-90 86-91 87-92 88-104 89-106 90-107 94-108 97-112 98-113 99-114 100-115 101-116 102-117,90,86,89,17,29,83.5,75.42,Synonymy;Modulation;Compression,Modulation;Synonymy;Compression,3,WorExp;SemSyn;ModInf;PraSyn;GraSim,WorExp;SemSyn;ModInf;PraSyn;GraSim,5,15;11;2;12;5;22;7,"15 Eliminación de abreviaturas, siglas y acrónimos o agregación de explicación | 11 Uso de sustantivo cortos, sencillos y de uso habitual.   -  2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 11 Uso de sustantivo cortos, sencillos y de uso habitual.   -  12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos. | 12 Eliminación o cambio de términos abstractos, extranjerismos, palabra de contenido indeterminado y/o tecnicismos.  -  11 Uso de sustantivo cortos, sencillos y de uso habitual.   -  2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 15 Eliminación de abreviaturas, siglas y acrónimos o agregación de explicación  -  5 Uso de verbo frecuente | 5 Uso de verbo frecuente | 22 Eliminación de perífrasis verbales complejas. | 7 Uso adverbio frecuente  -  2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.",Evalue: Verbo complejo | Inflación: palabra compleja | conflictos: palabra compleja | prioridades: palabra compleja,Evalue: Verbo complejo | Inflación: palabra compleja | conflictos: palabra compleja | prioridades: palabra compleja,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,0,0,1,0
ES_ALIGN_0109,es,Spanish,iDEM Spanish,idem_es_ES_037_041.txt.wordalign.csv,ES_037_041,1,0,,ES_037_041:0,El Parlamento Europeo te da la bienvenida El Parlamento Europeo es un importante foro de debate político y de decisión al nivel de la UE.,El Parlamento Europeo te da la bienvenida. El Parlamento Europeo es un importante lugar de debate político y de decisiones en al Unión Europea.,26,26,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-22 22-21 24-24 25-25,24,24,24,2,2,92.31,92.31,Modulation;Synonymy,Modulation;Synonymy,2,ModInf;SemSyn;WorExp,ModInf;SemSyn;WorExp,3,2;11;15,"2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  11 Uso de sustantivo cortos, sencillos y de uso habitual. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  15 Eliminación de abreviaturas, siglas y acrónimos o agregación de explicación",foro: término complejo,foro: término complejo,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,0,0,0,0
ES_ALIGN_0122,es,Spanish,iDEM Spanish,idem_es_ES_042.txt.wordalign.csv,ES_042,1,0,,ES_042:0,"Comidas a domicilio El servicio de comida a domicilio da apoyo alimenticio a aquellas personas que, por su situación personal, no pueden prepararse la comida, necesitan ayuda para hacerlo o no tienen una vivienda en condiciones para cocinar alimentos.","Comidaas a domicilio El servicio de comida a domicilio da apoyo a aquellas personas que por su situción personal, no pueden prepararse la comida, necesitan ayuda para hacerla o no tienen una casa en condiciones para cocinar alimentos.",43,41,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-17 12-11 13-12 14-13 15-14 16-29 17-15 18-16 19-17 20-18 21-19 22-20 23-21 24-22 25-23 26-24 27-25 28-26 29-27 30-28 31-29 32-30 33-31 34-32 35-33 36-34 37-35 38-36 39-37 40-38 41-39 42-40,43,43,41,0,0,100.0,100.0,Modulation;Synonymy,Modulation;Synonymy,2,ModInf;SemSyn,ModInf;SemSyn,2,2;11,"2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  11 Uso de sustantivo cortos, sencillos y de uso habitual.",,,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,0,0,0,0
ES_ALIGN_0127,es,Spanish,iDEM Spanish,idem_es_ES_043_045.txt.wordalign.csv,ES_043_045,1,0,,ES_043_045:0,"Solicitud y tramitación de la ley de la dependencia La Ley 39/2006 de promoción de la autonomía personal y atención a las personas en situación de dependencia (LAPAD), o Ley de Dependencia, reconoce el nuevo derecho a la promoción de la autonomía personal y a la atención de las personas con dependencia.","Solicitud y tramitación de la ley de la dependencia La Ley 39/2006 de promoción de la autonomía personal y atención , a las personas en situación de dependencia, LAPAD,o Ley de Dependencia, reconoce el nuevo derecho al desarrollo de la autonomía personal y a la atención de las personas con dependencia.",57,56,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 28-29 30-28 30-30 31-31 32-32 33-33 34-34 35-35 36-36 37-37 38-38 39-39 40-40 42-41 43-42 44-43 45-44 46-45 47-46 48-47 49-48 50-49 51-50 52-51 53-52 54-53 55-54 56-55,56,55,55,2,1,96.49,98.21,Modulation;Compression;Synonymy,Modulation;Synonymy;Compression,3,ModInf;GraSim;SemSyn,ModInf;GraSim;SemSyn,3,2;3;11,"2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  3 No usar punto y coma (;), puntos suspensivos (...) Etcétera, paréntesis, comillas y otros signos poco habitules. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes. | 2 Uso de punto y aparte o salto de línea para separar frases con ideas diferentes.  -  11 Uso de sustantivo cortos, sencillos y de uso habitual.",,,iDEM annotation criteria mapped to taxonomy,provided_via_criteria_mapping,provided_strategy_annotation,,0,exact_source_exact_target,1.0,1.0,manual,itermax,xlm-roberta-large,true,sentence-level labels inherited by word rows,0,1,1,0,0,0,0,1,0
