pair_id,language,operation,span_linguistic_type,span_text,span_length,source_text,target_text
25809b44c5847fba94f0,es,DELETE,Core participant/argument,informante,1,"Aliste conocía bien ese viaje: “Quedamos en llevar a cabo lo mismo el día 12 de abril en el Consultado de España en Nueva York, a cuyo fin se iba a desplazar allí este informante y tres personas más.",José Aliste conocía bien ese viaje a Nueva York y las personas que participaban en esa reunión.
ddb8eecbbfa80264add6,ca,DELETE,Core participant/argument,obtingudes,1,c) Que no s’obtinguin rendes que es qualificarien com a obtingudes mitjançant un establiment permanent a Espanya.,c) Que no es guanyi diners com si es tingués una empresa fixa o oficina a Espanya.
d5cf05a53627906d5a0b,it,DELETE,Core participant/argument,capacità,1,Il bilancio europeo ha dimostrato di avere la capacità di offrire vantaggi concreti ai cittadini.,Il bilancio europeo ha dimostrato: può davvero migliorare la vita di tutti.
78d6e2086a794cf30c9b,es,DELETE,Discourse marker or connective,e,1,"El caso Caranjuez se sigue Juzgado de Instrucción número 19 de Madrid e investiga a una presunta organización criminal que cobró “millones de euros” de antiguos jerarcas venezolanos asentados en España, entre ellos Alvarado Ochoa, a cambio de una supuesta protección y evitar sus extradiciones.","Un juzgado de Madrid investiga una supuesta organización criminal que cobró millones de euros por proteger y evitar que enviasen a Venezuela a antiguos jefes Venezolanos que vivían en España, entre ellos el antiguo ministro de energía eléctrica de Venezuela. Esta investigación es conocida como caso Caranjuez"
52d9d45822bcd5d7b1eb,es,DELETE,Discourse marker or connective,y,1,"Se trataba de una operación para extorsionar al abogado Javier Gómez de Liaño, cuando representaba a Luis Bárcenas, y conseguir que los medios no publicaran información comprometedora del PP.","En ese caso, la jusiticia investigaba si hubo amenzas al abogado de Luis Barcenas, para evitar que los medios publicarán información que perjudicara al PP. Luis Barcenas fue un político del PP condenado por cometer varios delitos."
2a06d75d2b2af0a7907f,es,DELETE,Discourse marker or connective,e,1,"A los policías españoles les interesó poco la información que Alvarado tenía de Venezuela e insistían en qué podía conseguir de Podemos, tal y como relató Alvarado Ochoa en el marco del caso Caranjuez.",A estos policías les interesó poco la información que el antiguo ministro venezolano de energía eléctrica tenía sobre Venezuela. Estos policías le insistieron para que consiguiese información sobre Podemos.
c482f204c6bb44a5ad9e,ca,DELETE,Function/grammatical material,de,1,"Queixa ciutadana Admeses a tràmit Arran d’una queixa, l’assessoria de la Sindicatura inicia una investigació i supervisió de l’activitat municipal.","Què passa quan s'accepta una queixa? Quan es presenta i s'accepta una queixa, la Sindicatura comença una investigació i revisa el que fa l'ajuntament."
cda9b351910e461b32dc,it,DELETE,Function/grammatical material,di,1,Tempi di lavorazione del provvedimento Il termine ordinario per l’emanazione dei provvedimenti è stabilito dalla legge n. 241/1990 in 30 giorni.,"Quanto tempo ci vuole? Secondo la legge, abbiamo 30 giorni per risponderti."
8b70279b0ca0d39dc90d,fr,DELETE,Function/grammatical material,l',1,Procurer des soins spécialisés gratuits adaptés à l'état psychique des migrants.,"- Avoir une aide psychologique adaptée et gratuite - Pouvoir parler de ses problèmes, être écouté et avoir des conseils individuels - Avoir un suivi adapté à ses besoins : accompagnement psychologique, psychothérapie, traitement spécialisé ou les deux en même temps."
44cc0a66699c53c0bcbf,it,DELETE,Mixed span,di proprietà dello,3,"Le case demaniali sono edifici di proprietà dello Stato assegnati, per esempio, a un funzionario pubblico per svolgere le sue funzioni.","Casa demaniale vuol dire: la casa appartiene allo Stato e ha uno scopo specifico. Per esempio, una persona che lavora per lo Stato può farlo in questa casa."
9d3ea07b1e8e998ed7f4,it,DELETE,Mixed span,a lungo termine,3,"Nel 2025 la Commissione presenterà una proposta per un nuovo bilancio europeo a lungo termine a partire dal 2028, che sarà poi deciso dal Parlamento europeo e dagli Stati membri.",Nel 2025 la Commissione fa una proposta per un nuovo bilancio europeo. Il bilancio inizierà nel 2028 e sarà per parecchi anni. Il Parlamento europeo e gli Stati membri devono poi approvare il bilancio.
913fe0e68d219830006d,ar,DELETE,Mixed span,قفصا من الفش في داخله,5,توجه سبّابتها إلى أبي في المرة القادمة ، سوف يكون رأسك! في صباح اليوم التالي، خرج والدي باكرا حاملا معه مظروف آيدا، ليعود بعد ساعات حاملا قفصا من الفش في داخله أربعة ديوك جديدة! تواصل والدتي سرد الحكاية: “التقينا أبي حاملا قفصه، أنا وآيدا وميرلا، في الممر الصغير الذي يفضي إلى الزقاق في آخر الساحة الأمامية للمنزل.,أشارت إلى أبي: في المرة القادمة ، سوف يكون رأسك؟ في صباح اليوم التالي خرج والدي باكرا حاملا معه مظروف آيد، ليعود بعد ساعات حاملا أربعة ديوك جديدة.
2e42bd706163781a6488,it,DELETE,Modifier/detail,infatti,1,"In occasione delle europee, infatti, non tutti gli studenti fuorisede avevano il diritto di votare nel comune in cui vivevano.","Molti studenti non vivono nel loro comune di residenza, ma in un comune diverso. Alle elezioni europee, non tutti gli studenti potevano votare nel comune in cui vivono."
79f7e5578bdad5a5063f,it,DELETE,Modifier/detail,stessa,1,Il problema delle leggi spesso poco comprensibili è stato sollevato di recente dalla stessa Corte Costituzionale.,"Di recente, anche la Corte Costituzionale ha detto: molte leggi sono difficili da capire. La Corte Costituzionale si occupa di questioni relativi alla Costituzione."
eef783f7ee283f79e230,ca,DELETE,Modifier/detail,presentat,1,També podeu presentar els justificants de la despesa efectuada de cada projecte presentat.,També podeu enviar els justificants dels diners gastats de cada projecte.
c9265df3d46afd8dda0a,en,DELETE,Named entity or proper name,KCB KC,2,Sir Keir Rodney Starmer KCB KC is a British politician and barrister who has served as PM of the UK since 2024 and as Leader of the Labour Party since 2020.,Starmer is a British lawyer. Starmer is a British politician. Starmer is the Prime Minister of the United Kingdom. Starmer is the head of the Labour Party.
9abd9ecd25e872781d16,es,DELETE,Named entity or proper name,Alvarado Ochoa,2,"Bajo el encabezamiento de “Podemos”, Aliste redacta los tres primeros informes a partir de lo que le cuenta Alvarado Ochoa, al que en adelante se referirá con el nombre en clave de ‘Cicerón’.",José Aliste en los 3 primeros informes escribe lo que le cuenta el antiguo ministro de energía eléctrica de Venezuela. Estos 3 primeros informe los llama Podemos.
